AssetID;PriceTime;AssetPrice;Currency
DE0008474503;2024-02-21 18:45:06.000;122.54;EUR
CA0679011084;2024-02-21 18:45:06.000;13.429;EUR
US0846707026;2024-02-21 18:45:06.000;377.33;EUR
US1912161007;2024-02-21 18:45:06.000;56.586;EUR
US5949181045;2024-02-21 18:45:06.000;369.49;EUR
CH0038863350;2024-02-21 18:45:06.000;104.15;EUR
DK0062498333;2024-02-21 18:45:06.000;111.5;EUR
US7427181091;2024-02-21 18:45:06.000;147.62;EUR
DE0007165607;2024-02-21 18:45:06.000;260.5;EUR
GB00B03MLX29;2024-02-21 18:45:06.000;29.62;EUR
JP3358000002;2024-02-21 18:45:06.000;127.3;EUR
LU1737653631;2024-02-24 17:10:17.000;45.736;EUR
Gold;2024-02-24 17:10:17.000;1882.11;EUR
BTC;2024-02-24 17:10:17.000;47301.01;EUR
USD;2024-02-24 17:10:17.000;1.0818;EUR
FR0010315770;2024-02-24 17:10:17.000;306.32;EUR
IE00BKM4GZ66;2024-02-24 17:10:17.000;29.711;EUR
DE0008474503;2024-02-24 17:10:17.000;122.91;EUR
CA0679011084;2024-02-24 17:10:17.000;13.621;EUR
US0846707026;2024-02-24 17:10:17.000;385.55;EUR
US1912161007;2024-02-24 17:10:17.000;56.555;EUR
US5949181045;2024-02-24 17:10:17.000;379.15;EUR
CH0038863350;2024-02-24 17:10:17.000;100.0;EUR
DK0062498333;2024-02-24 17:10:17.000;113.92;EUR
US7427181091;2024-02-24 17:10:17.000;148.81;EUR
DE0007165607;2024-02-24 17:10:17.000;277.0;EUR
GB00B03MLX29;2024-02-24 17:10:17.000;29.43;EUR
JP3358000002;2024-02-24 17:10:17.000;125.8;EUR
